page_id,page_name,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_female,avg_male,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
130981220272725,Zelení Praha 3,35,22,0.629,100,38582,1102,268482,7671,64261,5.7,0,0.082,0.182,0.141,0.069,0.04,0.033,0,0.049,0.156,0.129,0.062,0.03,0.016,0,0.132,0.338,0.27,0.131,0.07,0.049,0.547,0.443,0.921,0.011,0.005,0.005,0.002,0.007,0.003,0.005,0.004,0.003,0.011,0.005,0.009,0.004
131404269206,Asistence,7,6,0.857,101,22546,3221,714996,102142,857144,17.6,0,0.03,0.176,0.277,0.201,0.012,0,0,0.032,0.097,0.101,0.064,0.003,0,0,0.062,0.273,0.378,0.265,0.015,0,0.695,0.297,0.159,0.105,0.058,0.054,0.026,0.075,0.043,0.056,0.051,0.048,0.12,0.059,0.096,0.049
131534120373078,Severočeši - Litoměřice,38,34,0.895,151,33381,878,309981,8157,32527,4.2,0,0.065,0.116,0.149,0.124,0.077,0.063,0,0.056,0.096,0.104,0.073,0.038,0.034,0,0.121,0.212,0.253,0.197,0.116,0.096,0.595,0.401,0.005,0.007,0,0,0,0.985,0.004,0,0,0,0,0,0,0
1322414124491871,PRO – REGION Šumperk,29,27,0.931,111,45336,1563,258486,8913,77967,3.3,0,0.04,0.101,0.13,0.145,0.084,0.075,0,0.043,0.1,0.102,0.09,0.045,0.043,0,0.083,0.201,0.232,0.235,0.128,0.117,0.574,0.423,0.003,0.003,0.002,0.002,0.001,0.003,0.002,0.002,0.012,0.001,0.004,0.958,0.005,0.002
133508726699512,Finmag,45,31,0.689,49,15028,334,172478,3833,513334,17.7,0,0.004,0.012,0.018,0.039,0.1,0.171,0,0.038,0.108,0.122,0.127,0.118,0.138,0,0.042,0.12,0.14,0.166,0.218,0.309,0.343,0.65,0.166,0.088,0.051,0.051,0.03,0.086,0.043,0.046,0.04,0.039,0.124,0.058,0.13,0.049
134443820058669,Zbyněk Stanjura,85,43,0.506,114,109008,1282,1626458,19135,74707,4,0,0.01,0.031,0.045,0.06,0.039,0,0,0.109,0.244,0.202,0.175,0.079,0,0,0.119,0.275,0.247,0.235,0.118,0,0.185,0.809,0.229,0.103,0.052,0.043,0.022,0.069,0.038,0.049,0.046,0.042,0.135,0.046,0.077,0.047
136495336514325,Zdravé Letňany z. s.,52,39,0.75,188,84624,1627,458974,8826,10770,8.8,0,0.067,0.157,0.152,0.085,0.036,0.031,0,0.072,0.152,0.13,0.07,0.024,0.017,0,0.138,0.309,0.282,0.155,0.06,0.048,0.527,0.466,0.997,0.001,0,0,0,0,0,0,0,0,0,0,0,0
136792753787185,Kolíňáci,24,24,1,77,18638,777,192488,8020,10001,7.3,0,0.031,0.053,0.082,0.11,0.082,0.11,0,0.066,0.102,0.11,0.115,0.079,0.055,0,0.097,0.154,0.192,0.225,0.161,0.165,0.468,0.526,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137302382974726,The Ticket West Michigan,6,1,0.167,0,5706,951,222497,37083,1000001,5.3,0,0.02,0.041,0.06,0.1,0.092,0.061,0,0.04,0.083,0.13,0.182,0.118,0.069,0,0.06,0.124,0.19,0.282,0.21,0.13,0.376,0.621,0.103,0.106,0.059,0.059,0.036,0.116,0.048,0.056,0.05,0.04,0.094,0.057,0.129,0.044
137681825598,ODS Praha,639,89,0.139,60,174530,273,2517180,3939,22632,2.8,0,0.003,0.084,0.166,0.072,0.017,0.019,0,0.013,0.189,0.276,0.116,0.023,0.015,0,0.016,0.273,0.442,0.188,0.04,0.034,0.361,0.631,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137778619615350,Voyo.cz,43,25,0.581,24,129628,3015,3381480,78639,559768,30.3,0,0.158,0.139,0.058,0.063,0.025,0.026,0,0.158,0.187,0.088,0.057,0.017,0.018,0,0.316,0.326,0.146,0.121,0.042,0.044,0.469,0.526,0.154,0.116,0.06,0.057,0.026,0.079,0.038,0.051,0.047,0.045,0.112,0.053,0.102,0.051
1390628097826429,Starostové pro Liberec,37,31,0.838,60,78982,2135,733482,19824,54055,7.7,0,0.067,0.12,0.108,0.104,0.057,0.054,0,0.054,0.132,0.122,0.1,0.04,0.037,0,0.121,0.252,0.23,0.204,0.097,0.091,0.51,0.486,0.002,0.003,0.002,0.002,0.001,0.003,0.974,0.002,0.002,0.001,0.003,0.002,0.003,0.001
139379141293,Paměť národa,69,46,0.667,52,59116,857,903966,13101,188262,12.2,0,0.096,0.167,0.131,0.094,0.053,0.06,0,0.064,0.106,0.087,0.067,0.034,0.034,0,0.16,0.273,0.218,0.161,0.087,0.094,0.6,0.392,0.285,0.064,0.042,0.04,0.01,0.03,0.034,0.081,0.126,0.019,0.128,0.07,0.039,0.034
140017002702721,PRO LEPŠÍ LOUNY,42,39,0.929,107,44129,1051,362979,8642,10001,6.4,0,0.048,0.09,0.115,0.135,0.086,0.086,0,0.049,0.096,0.108,0.094,0.044,0.047,0,0.097,0.187,0.222,0.228,0.13,0.133,0.559,0.438,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0
1401994146795511,Svoboda a přímá demokracie Praha - SPD,34,23,0.676,91,48983,1441,400483,11779,123533,6.9,0,0.024,0.029,0.034,0.053,0.078,0.145,0,0.044,0.118,0.128,0.125,0.102,0.114,0,0.067,0.146,0.163,0.178,0.18,0.259,0.363,0.631,0.872,0.013,0.008,0.007,0.005,0.012,0.006,0.008,0.007,0.007,0.017,0.011,0.018,0.009
140406832679685,Libor Michálek,16,8,0.5,32,65292,4081,978492,61156,681251,4.9,0,0.045,0.03,0.022,0.149,0.119,0.132,0,0.03,0.04,0.041,0.199,0.094,0.094,0,0.075,0.07,0.063,0.348,0.213,0.226,0.496,0.498,0.373,0.048,0.028,0.026,0.016,0.049,0.021,0.023,0.021,0.018,0.046,0.024,0.283,0.02
1406016096336133,"ANO, tohle je Valmez",24,19,0.792,29,22588,941,270488,11270,57918,9.8,0,0.045,0.08,0.107,0.123,0.085,0.076,0,0.054,0.109,0.121,0.099,0.05,0.046,0,0.099,0.189,0.228,0.222,0.135,0.122,0.515,0.479,0.004,0.004,0.003,0.003,0.002,0.005,0.002,0.003,0.002,0.002,0.004,0.013,0.041,0.91
1410403182565683,Petr Hladík,136,106,0.779,65,378332,2782,3062932,22522,88244,6.9,0,0.073,0.134,0.114,0.078,0.057,0.064,0,0.07,0.149,0.112,0.067,0.037,0.039,0,0.142,0.283,0.226,0.145,0.095,0.104,0.52,0.474,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.979,0.002,0.003,0.001
1416733788557863,Pravda o vodě a voda lidem,27,24,0.889,78,42986,1592,745486,27611,467038,4.7,0,0,0.01,0.036,0.088,0.134,0.186,0,0,0.029,0.094,0.145,0.134,0.139,0,0,0.039,0.13,0.233,0.268,0.325,0.455,0.541,0.078,0.107,0.071,0.027,0.008,0.044,0.02,0.013,0.035,0.067,0.155,0.12,0.141,0.113
142407199736272,STAN České Budějovice,35,31,0.886,33,43232,1235,494482,14128,54287,6,0,0.056,0.133,0.144,0.026,0.006,0.005,0,0.083,0.253,0.242,0.033,0.006,0.006,0,0.139,0.386,0.386,0.06,0.012,0.011,0.37,0.624,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1432139953751418,Josef Středula,43,35,0.814,32,320178,7446,3504978,81511,587675,8.9,0,0.039,0.046,0.058,0.098,0.116,0.124,0,0.047,0.096,0.106,0.119,0.08,0.068,0,0.086,0.143,0.163,0.217,0.196,0.192,0.48,0.516,0.102,0.068,0.038,0.036,0.024,0.244,0.035,0.039,0.033,0.032,0.082,0.046,0.18,0.04
1436785059891855,"ANO, tohle je Šumperk",16,16,1,106,27292,1706,225992,14124,10001,10.7,0,0.069,0.116,0.12,0.12,0.072,0.06,0,0.069,0.119,0.097,0.079,0.036,0.036,0,0.138,0.235,0.217,0.2,0.109,0.096,0.559,0.437,0,0,0,0,0,0,0,0,0,0,0,1,0,0
